Nombre,Estrella,Magnitud,Distancia
Andrómeda,Sirrah,"2,06v",97.0
Antlia,Alpha Antliae,"4,24v",366.0
Apus,Alpha Apodis,"3,83",411.0
Acuarius,Sadalsuud,"2,89",610.0
Aquila,Altair,"0,77",16.0
Ara,Beta Arae,"2,84",600.0
Aries,Hamal,"2,01",66.0
Auriga,Capella,"0,08v",42.0
Bootes,Arcturus,"-0,05v",36.0
Caelum,Alpha Caeli,"4,44",66.0
Camelopardalis,Beta Camelopardalis,"4,03",1000.0
Cancer,Altarf,"3,53",290.0
Canes Venatici,Cor Caroli,"2,82v",110.0
Canis Major,Sirius,"-1,46",8.6
Canis Minor,Procyon,"0,36",11.3
Capricornius,Deneb Algiedi,"2,81v",39.0
Carina,Canopus,"-0,72v",310.0
Cassiopeia,Gamma Cassiopeiae,"2,20v",615.0
Centaurus,Rigel Kentaurus,"-0,28",4.39
Cepheus,Alderamin,"2,45",49.0
